topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,doc_id
4.047151574890026e-6,4.047151574821282e-6,0.8110697327340526,4.047151575163645e-6,4.0471515744876e-6,4.047151574736893e-6,4.047151574721443e-6,4.047151575292643e-6,4.0471515751927925e-6,4.047151574939776e-6,4.04715157478058e-6,0.18885741853760052,4.047151574499308e-6,4.047151574727963e-6,4.047151574851351e-6,4.047151574683401e-6,4.04715157467414e-6,4.047151575140797e-6,4.047151574856954e-6,4.047151574460898e-6,text19
3.9446262084156607e-7,3.9446261837638123e-7,3.944626212623745e-7,3.944626214285744e-7,3.944626212623168e-7,3.944626151276438e-7,3.9446261551553343e-7,3.944626212439537e-7,3.9446262105445917e-7,3.944626214140239e-7,3.9446262117653054e-7,3.9446262103171114e-7,3.944626215231194e-7,3.944626215119794e-7,3.944626213804445e-7,0.9980361653139684,3.9446261563529457e-7,0.001956734358869069,3.944626212455783e-7,3.944626215237535e-7,text2
0.9593141587216634,2.3705881667304205e-6,2.370588166569502e-6,2.370588166613214e-6,2.370588166554924e-6,2.370588166577117e-6,2.37058816670246e-6,2.3705881665967015e-6,2.3705881666990125e-6,2.3705881665398203e-6,2.370588166908018e-6,2.3705881666516443e-6,2.370588166533986e-6,2.370588166377765e-6,2.370588166648955e-6,0.01949577483186878,2.370588166730082e-6,0.021149766447635394,2.37058816655346e-6,2.3705881664531595e-6,text20
3.1071606430399754e-6,3.1071606431372957e-6,3.107160643525759e-6,3.107160643138915e-6,3.107160643694881e-6,3.107160643450608e-6,3.1071606434650018e-6,3.107160643360047e-6,3.1071606435338596e-6,3.1071606431365944e-6,0.5597416056298222,0.01381953046054724,3.1071606433341208e-6,0.031097434951175836,3.107160643210991e-6,0.1517168207173702,0.01776609565269695,0.14196469526345115,0.08385342423657324,3.107160643105602e-6,text21
4.060470232489971e-6,4.0604702330830205e-6,4.06047023300057e-6,4.060470232487302e-6,4.060470232501791e-6,0.5931816985697985,4.06047023250052e-6,4.0604702325661745e-6,0.40674521296601496,4.0604702323813325e-6,4.060470232640411e-6,4.060470232474646e-6,4.060470232357859e-6,4.060470232408875e-6,4.060470232384021e-6,4.060470232642768e-6,4.060470232523595e-6,4.0604702327106225e-6,4.060470232913563e-6,4.060470232380125e-6,text22
5.530477875092205e-6,5.53047787487547e-6,5.530477875065463e-6,5.530477874896247e-6,5.530477875073791e-6,5.530477875116595e-6,5.53047787505607e-6,5.530477874122451e-6,0.9998949209203777,5.53047787473487e-6,5.530477874488752e-6,5.530477874938813e-6,5.530477874995779e-6,5.530477874197795e-6,5.530477874708251e-6,5.530477874984321e-6,5.530477875007946e-6,5.530477874993977e-6,5.53047787505458e-6,5.530477875031602e-6,text23
3.446294466662389e-6,3.446294466419441e-6,3.446294466420064e-6,3.446294466651661e-6,3.4462944668346777e-6,0.05302501922195513,0.016662492888406797,3.446294466512144e-6,3.4462944665999356e-6,3.44629446649558e-6,3.4462944665134426e-6,0.9302539008837074,3.446294466484025e-6,3.446294466418322e-6,3.4462944662359537e-6,3.446294466653437e-6,3.4462944664089335e-6,3.446294466653038e-6,3.4462944664503276e-6,3.4462944662469406e-6,text24
7.939412398071418e-6,0.42693339974131395,7.939412398149265e-6,7.939412398091677e-6,7.93941239820077e-6,7.939412398115216e-6,7.93941239800363e-6,0.5288636415894427,0.020622174738998154,7.939412398141501e-6,7.9394123980288e-6,7.939412397892812e-6,0.023453753331875996,7.939412398178328e-6,7.939412398083224e-6,7.939412398087069e-6,7.939412397986445e-6,7.939412398113127e-6,7.939412397989047e-6,7.939412398093735e-6,text25
5.458954656814697e-6,5.458954657109897e-6,5.4589546570832344e-6,5.458954657004559e-6,5.458954657057553e-6,5.458954657011165e-6,5.458954656798566e-6,5.45895465706198e-6,5.458954657138038e-6,5.458954656826909e-6,5.458954656853561e-6,5.45895465705212e-6,0.9560031882983727,5.4589546568954904e-6,0.04389855051780235,5.4589546569645465e-6,5.458954656561506e-6,5.458954656786691e-6,5.458954656921794e-6,5.458954657067845e-6,text26
8.562420277968242e-6,8.562420278096152e-6,8.562420278024287e-6,0.40349652610080977,8.562420278185536e-6,0.3272981102645412,0.027423445718191768,8.56242027809752e-6,8.562420277973597e-6,8.562420278121468e-6,8.562420278116476e-6,8.562420278061773e-6,8.562420277978757e-6,8.562420278192509e-6,8.562420278162258e-6,0.18157154650539042,0.0503860271755505,0.00970447035162316,8.562420278036032e-6,8.562420278187832e-6,text27
