topic,term,prob
topic 14,spatial,0.01854101766445598
topic 14,learning,0.01704846764598155
topic 14,method,0.016332916396305897
topic 14,based,0.015064851937507598
topic 14,classification,0.012855640817294872
topic 14,proposed,0.01259143688477864
topic 14,machine,0.011627938213247677
topic 14,mapping,0.010904215152767276
topic 14,sensing,0.010801742879354951
topic 14,images,0.010608032889585332
topic 14,remote,0.01029038951469901
topic 14,results,0.010136636381814468
topic 14,sentinel,0.009608917237221412
topic 14,methods,0.009204792880414195
topic 14,features,0.008729315487740636
topic 14,scale,0.00820086027284747
topic 14,temporal,0.00811762340700025
topic 15,tree,0.026015222260146263
topic 15,data,0.024559471893397848
topic 15,forest,0.021863640355455606
topic 15,biomass,0.017643400512723586
topic 15,lidar,0.0165453884415077
topic 15,canopy,0.015444444000210372
topic 15,trees,0.014164059434539692
topic 15,field,0.011655397600313625
topic 15,height,0.00999082176762101
topic 15,species,0.009935225139773345
topic 15,agb,0.008739093623631875
topic 15,structure,0.007829069673226165
topic 15,based,0.0077244894703053435
topic 15,plots,0.0069066349459189075
topic 15,derived,0.0067638333298168955
topic 15,inventory,0.00656524382580912
topic 15,management,0.006391037107659334
topic 15,cover,0.006018981830128984
topic 15,sampling,0.0059465945361888645
topic 15,density,0.005918753847417679
topic 16,emissions,0.059457937604619655
topic 16,emission,0.029533833115300487
topic 16,carbon,0.014686324990928694
topic 16,gas,0.012178795202284435
topic 16,greenhouse,0.010931500119500873
topic 16,nox,0.007334753712772451
topic 16,channel,0.006782570628975491
topic 16,methane,0.006369618814258434
topic 16,study,0.00609930594034992
topic 16,sources,0.005864970032703087
topic 16,source,0.005688335097347868
topic 16,reduction,0.005546380456443879
topic 16,satellite,0.0053093646951511
topic 16,anthropogenic,0.00528742596439198
topic 16,river,0.005204183523811791
topic 16,total,0.005173629972452388
topic 16,global,0.004515639888351951
topic 16,observations,0.004479496302904924
topic 16,data,0.00403612924604927
topic 16,measurements,0.004006917364982598
topic 17,risk,0.1400105787484159
topic 17,exposure,0.02646066699744315
topic 17,risks,0.020753637504084647
topic 17,assessment,0.008799188359503315
topic 17,million,0.008231486687268735
topic 17,reduction,0.007579572488494415
topic 17,hazard,0.0075397748572679155
topic 17,health,0.007519514979130897
topic 17,mortality,0.006606687519404089
topic 17,based,0.006441932526806104
topic 17,level,0.005998754804250307
topic 17,scale,0.005682449913372375
topic 17,population,0.005336259436666364
topic 17,study,0.005210784094106072
topic 17,mitigation,0.004948208741731752
topic 17,insurance,0.004847013999930032
topic 17,related,0.004646706315491227
topic 17,levels,0.004305706482027283
topic 17,potential,0.004234556644568463
topic 17,benefits,0.004050577665495593
topic 18,vegetation,0.13070813102793696
topic 18,index,0.05936834415409651
topic 18,ndvi,0.05424345530841597
topic 18,difference,0.02801545516567289
topic 18,normalized,0.025371809433786724
topic 18,indices,0.021010285776498296
topic 18,study,0.013836934229870762
topic 18,values,0.013155444196477474
topic 18,cover,0.011312226207038853
topic 18,data,0.009497922931285556
topic 18,lai,0.008966234401973396
topic 18,time,0.008150078782279547
topic 18,results,0.007489449554167888
topic 18,images,0.007333453870443123
topic 18,evi,0.007131947109111604
topic 18,modis,0.006575988587482547
topic 18,satellite,0.0062684224311318985
topic 18,monitoring,0.0061112798225127505
topic 18,landsat,0.005793257885467933
topic 18,series,0.005780437979101347
topic 19,mining,0.05512775140340451
topic 19,npp,0.024312126056237983
topic 19,mine,0.016299392804877834
topic 19,coal,0.016149952978998985
topic 19,desertification,0.011861645722698336
topic 19,gpp,0.010811613661178995
topic 19,mineral,0.009635927676845615
topic 19,production,0.00914459154379214
topic 19,productivity,0.009059723918468017
topic 19,primary,0.007943891030805509
topic 19,environmental,0.00775133510448662
topic 19,data,0.007651020798289148
topic 19,exploration,0.007315268246594725
topic 19,mines,0.007058356970982269
topic 19,land,0.00677758594181761
topic 19,xinjiang,0.006687235508163653
topic 19,resources,0.006613384868225516
topic 19,malaria,0.006610209388700113
topic 19,degradation,0.006048865954634668
