doc_id,topic,prob
17,topic 10,0.0013169017184039794
18,topic 1,0.2565060581178874
18,topic 2,0.04772275469460678
18,topic 3,0.10082520289877184
18,topic 4,0.21079297607437045
18,topic 5,3.3726623116797367e-4
18,topic 6,3.3726658471791435e-4
18,topic 7,0.3527319226853952
18,topic 8,3.372668659950942e-4
18,topic 9,3.3726598594524423e-4
18,topic 10,0.03007201986114209
19,topic 1,5.062521090967824e-4
19,topic 2,5.06252385989378e-4
19,topic 3,5.062520321845291e-4
19,topic 4,5.062514239105279e-4
19,topic 5,5.06251862339442e-4
19,topic 6,5.06251261785922e-4
19,topic 7,5.062516683114073e-4
19,topic 8,5.062517427971766e-4
19,topic 9,0.25795571344355916
19,topic 10,0.7379942720700257
20,topic 1,4.2425920042419543e-4
20,topic 2,4.242595729586981e-4
20,topic 3,4.242598921034739e-4
20,topic 4,4.2425934314454714e-4
20,topic 5,4.242595560890324e-4
20,topic 6,0.05104711234538801
20,topic 7,4.2425925370943396e-4
20,topic 8,4.2426009248227724e-4
20,topic 9,0.94555881117935
20,topic 10,4.242595643502321e-4
21,topic 1,5.37001729931354e-4
21,topic 2,5.370020330773473e-4
21,topic 3,5.370046540564754e-4
21,topic 4,5.37001848238062e-4
21,topic 5,0.11005300011291412
21,topic 6,5.370016492353015e-4
21,topic 7,0.8856509799554553
21,topic 8,5.370022784466411e-4
21,topic 9,5.370033306024727e-4
21,topic 10,5.370024080430323e-4
22,topic 1,0.1973811992959969
22,topic 2,0.38978792870532414
22,topic 3,7.023069380313791e-4
22,topic 4,7.02303942111495e-4
22,topic 5,7.02306283105195e-4
22,topic 6,7.023035602186966e-4
22,topic 7,7.023048292245125e-4
22,topic 8,7.023051026014208e-4
22,topic 9,7.023060758825863e-4
22,topic 10,0.40791473526750377
23,topic 1,2.55603059097011e-4
23,topic 2,0.06634795484659256
23,topic 3,2.5560350431363856e-4
23,topic 4,0.028118313390153343
23,topic 5,2.55603002436209e-4
23,topic 6,2.5560320365685226e-4
23,topic 7,0.7185631648096887
23,topic 8,2.5560357545818726e-4
23,topic 9,0.18543694727461765
23,topic 10,2.556033339857538e-4
24,topic 1,0.6558799722421773
24,topic 2,5.811251487208172e-4
24,topic 3,5.811244890745579e-4
24,topic 4,0.15717977538814654
24,topic 5,5.811241303435804e-4
24,topic 6,0.021011592183249633
24,topic 7,5.811253120138578e-4
24,topic 8,0.13342667027632743
24,topic 9,5.811247140724237e-4
24,topic 10,0.029596366115873796
25,topic 1,0.6712515311452022
25,topic 2,0.14590795692783742
25,topic 3,6.2752888009084e-4
25,topic 4,6.275302463463868e-4
25,topic 5,0.17844780211626224
25,topic 6,6.27528759442252e-4
25,topic 7,6.275302900485979e-4
25,topic 8,6.275290406429868e-4
25,topic 9,6.275310971074929e-4
25,topic 10,6.275314970195738e-4
26,topic 1,0.12187603061405629
26,topic 2,4.217296657927003e-4
26,topic 3,4.217297194740826e-4
26,topic 4,4.21730963194e-4
26,topic 5,4.217295917556322e-4
26,topic 6,4.217317215217122e-4
26,topic 7,0.08617687362594176
26,topic 8,4.217304430082009e-4
26,topic 9,4.2172901229238925e-4
26,topic 10,0.7889949846429634
27,topic 1,2.556031025541549e-4
27,topic 2,2.556028587132206e-4
27,topic 3,2.556030655780391e-4
27,topic 4,0.3055520787562085
27,topic 5,0.053872859984263194
27,topic 6,0.46627567040726264
27,topic 7,2.5560321329401274e-4
27,topic 8,2.556028637914257e-4
27,topic 9,2.5560292441260637e-4
27,topic 10,0.17276577282392225
28,topic 1,5.211740615019675e-4
28,topic 2,0.42460245552934023
28,topic 3,5.211740271429066e-4
28,topic 4,5.211740020117295e-4
28,topic 5,5.211740292455153e-4
28,topic 6,5.211752598970286e-4
28,topic 7,5.211739656611808e-4
28,topic 8,0.5712281498468081
28,topic 9,5.211751170472286e-4
